#{"t_start": 1743685495.1561525, "env_id": "LanguageLearningEnv-v0"}
r,l,t
558.0,41,39.464653
665.0,52,39.525244
554.0,41,39.569832
650.0,41,39.620448
711.0,51,39.687053
581.0,42,39.742716
623.0,41,39.792306
788.0,51,39.848385
553.0,41,39.907448
622.0,41,39.958662
547.0,41,40.013309
604.0,42,40.07393
547.0,41,40.132588
396.0,33,40.175671
675.0,41,40.226744
646.0,41,40.268803
626.0,41,40.310366
642.0,42,40.35893
638.0,42,40.401495
628.0,41,40.447041
611.0,41,40.496622
623.0,41,40.547765
702.0,51,40.605912
623.0,41,40.653014
594.0,43,40.71409
505.0,41,40.764174
747.0,51,40.820257
582.0,44,40.872549
673.0,51,40.923125
648.0,41,40.967689
589.0,41,41.015262
626.0,41,41.064381
623.0,41,41.106456
630.0,41,41.154525
703.0,51,41.206126
668.0,41,41.259722
715.0,51,41.322813
586.0,41,41.367386
535.0,41,41.409945
581.0,42,41.460072
667.0,51,41.525244
742.0,51,41.583885
600.0,41,41.62496
743.0,51,41.678066
648.0,41,41.720639
770.0,51,41.777729
647.0,41,41.831328
606.0,41,42.073764
625.0,43,42.142619
636.0,41,42.191698
645.0,41,42.239621
639.0,41,42.297274
524.0,41,42.343604
560.0,41,42.391347
588.0,41,42.439562
595.0,41,42.495016
589.0,41,42.543917
578.0,42,42.599683
599.0,41,42.870082
686.0,51,42.926656
558.0,41,42.965243
660.0,41,43.015862
612.0,41,43.065466
597.0,42,43.125624
635.0,43,43.178717
623.0,41,43.223281
588.0,41,43.268849
642.0,41,43.314416
579.0,51,43.370014
645.0,41,43.426561
630.0,41,43.496666
639.0,41,43.548274
705.0,51,43.607431
550.0,52,43.667548
494.0,41,43.718155
588.0,41,43.765778
604.0,41,43.822934
636.0,51,43.886087
693.0,51,43.946772
611.0,41,43.990328
623.0,41,44.038435
544.0,41,44.088066
728.0,51,44.1447
577.0,53,44.210101
613.0,51,44.276745
658.0,41,44.364298
645.0,41,44.432928
606.0,41,44.511104
645.0,41,44.566661
664.0,41,44.628905
594.0,41,44.679677
612.0,41,44.741854
647.0,41,44.80673
561.0,42,44.854845
665.0,51,44.917959
705.0,51,44.974559
667.0,51,45.040701
657.0,42,45.090283
586.0,41,45.134845
628.0,42,45.177901
726.0,51,45.238493
613.0,41,45.297585
626.0,41,45.342677
626.0,41,45.387748
600.0,42,45.43383
670.0,41,45.486409
567.0,41,45.538484
594.0,41,45.582069
565.0,42,45.637169
573.0,41,45.684799
594.0,41,45.735934
526.0,42,45.790075
585.0,42,45.839724
719.0,51,45.903407
610.0,41,45.94955
556.0,41,45.994667
611.0,41,46.046768
618.0,41,46.094336
707.0,51,46.150939
630.0,41,46.19699
762.0,51,46.260638
645.0,41,46.303714
713.0,51,46.357812
686.0,51,46.413897
630.0,41,46.46201
680.0,41,46.509593
584.0,41,46.572829
693.0,41,46.622463
641.0,41,46.677111
625.0,41,46.723263
536.0,43,46.777373
82.0,18,46.795407
747.0,51,46.850012
661.0,41,46.898094
635.0,41,46.942188
668.0,41,46.991761
594.0,41,47.036327
604.0,42,47.07991
592.0,41,47.134509
648.0,45,47.183614
694.0,51,47.242278
616.0,42,47.283373
581.0,42,47.335001
592.0,41,47.381114
649.0,41,47.428188
588.0,41,47.476277
642.0,42,47.530383
687.0,51,47.594054
600.0,41,47.640173
604.0,42,47.68629
663.0,43,47.740953
626.0,41,47.785007
573.0,41,47.829802
622.0,41,47.875319
609.0,41,47.920018
553.0,41,47.961807
607.0,41,48.011615
595.0,41,48.055449
524.0,41,48.231699
723.0,52,48.289586
608.0,43,48.339837
648.0,41,48.379574
607.0,41,48.421847
643.0,41,48.685339
706.0,51,48.755391
592.0,41,48.808464
527.0,41,48.854119
630.0,41,48.898189
682.0,51,48.961887
664.0,41,49.005963
683.0,41,49.055585
611.0,41,49.104208
645.0,41,49.146812
626.0,41,49.197437
676.0,42,49.254128
636.0,41,49.305765
571.0,53,49.368901
684.0,52,49.424979
643.0,41,49.466035
596.0,41,49.517608
627.0,44,49.569721
612.0,41,49.612815
596.0,41,49.654878
604.0,41,49.721524
565.0,42,49.794585
566.0,42,49.868262
634.0,41,49.953967
569.0,41,50.006611
653.0,41,50.062292
68.0,11,50.075797
629.0,41,50.123403
564.0,41,50.171532
629.0,41,50.229682
661.0,41,50.281312
608.0,42,50.330937
636.0,42,50.381588
